   MULLIKEN OVERLAP POPULATIONS
  i      j                   value 
   24    24    3.5044423101285071e-03
   25     0   -1.5289690295927935e-03
   25     1   -3.6115799793060891e-03
   25     2   -3.5112602564227914e-03
   25     3   -8.1061504305095979e-03
   25     4   -8.6913457693872341e-03
   25     5   -5.2429851632992495e-03
   25     6   -2.4107821865320114e-03
   25     7    3.2510238937919000e-16
   25     8    1.4072997011038734e-15
   25     9    1.4323214092810272e-02
   25    10    5.6781293525235405e-16
   25    11    1.9880192279587104e-15
   25    12    2.0634635555447610e-02
   25    13    8.3860277252542346e-16
   25    14    1.9097373589732189e-15
   25    15    1.5483819077202044e-02
   25    16    8.2066974481932583e-16
   25    17    1.1762357296394095e-15
   25    18    6.5710715940685924e-03
   25    19    4.1740860468355142e-16
   25    20    4.4509265401295368e-16
   25    21    2.1848281415665495e-03
   25    22   -4.6790236387331940e-03
   25    23   -1.7801221646586651e-18
   25    24   -1.5704403071102900e-16
   25    25   -4.6790236387331948e-03
   26     0   -7.5596993010652477e-17
   26     1   -8.9489143336355701e-17
   26     2   -8.2396830830609800e-17
   26     3    5.5353875264426959e-17
   26     4    1.1277911435247678e-16
   26     5    1.1557490069092819e-16
   26     6    6.2921431032414914e-17
   26     7   -4.6561582827556036e-17
   26     8   -2.7254667627595482e-02
   26     9   -3.4657476021477858e-16
   26    10   -5.3197964797595767e-17
   26    11   -3.7382958710333314e-02
   26    12   -4.8089554658402313e-16
   26    13    9.7166670474848359e-18
   26    14   -3.2980955957512575e-02
   26    15   -3.7280884736429684e-16
   26    16    8.6757098089576185e-17
   26    17   -1.7549796142746339e-02
   26    18   -7.0726427543769597e-17
   26    19    1.0841807100893931e-16
   26    20   -5.9582897188636347e-03
   26    21    4.0063607947301971e-17
   26    22    2.1381602530780696e-17
   26    23    8.1557808225109488e-18
   26    24    1.4590925406166546e-17
   26    25    3.3379463681097854e-17
   26    26    3.5044423101284958e-03
   27     0   -3.3828235117520154e-03
   27     1   -3.0185619681296631e-03
   27     2   -2.8831466456746275e-03
   27     3    9.4468317375870012e-03
   27     4    1.3182525592251016e-02
   27     5    8.1363410206897555e-03
   27     6    3.6615464069318952e-03
   27     7   -1.8409937292609645e-16
   27     8    1.2650149092614709e-15
   27     9   -3.7394731434893566e-02
   27    10   -1.5810827017223324e-16
   27    11    1.8200926412260104e-15
   27    12   -5.3676613153164736e-02
   27    13    1.4032263614709280e-16
   27    14    1.8613975488079261e-15
   27    15   -4.0831589811127798e-02
   27    16    3.6476572533861060e-16
   27    17    1.2904334896014342e-15
   27    18   -1.7607294284755111e-02
   27    19    2.0184023426182025e-16
   27    20    5.5826118238621826e-16
   27    21   -5.7905088326610267e-03
   27    22    5.6404612051689385e-03
   27    23    6.0417086439196184e-18
   27    24   -7.3993318083040737e-17
   27    25    5.6404612051689437e-03
   27    26   -2.2455243617346415e-16
   27    27    1.3600301083308106e-02
   28     0   -8.3125353854495276e-03
   28     1   -1.0982853560968966e-02
   28     2   -1.0303203624003141e-02
   28     3   -2.4176648156915663e-03
   28     4   -1.4924907912443189e-03
   28     5    1.2813952121658908e-03
   28     6    1.6739577351958964e-03
   28     7   -1.3392615074825547e-15
   28     8    8.6777774345160946e-15
   28     9    3.5687545101196282e-02
   28    10    3.1092063118868063e-17
   28    11    1.2614654914420742e-14
   28    12    5.0470075183158498e-02
   28    13    5.2864269242382877e-15
   28    14    1.3130460604935790e-14
   28    15    3.7361512367650999e-02
   28    16    8.5733540083982420e-15
   28    17    9.1621880317955857e-15
   28    18    1.4666790531208644e-02
   28    19    4.9182393143731050e-15
   28    20    3.8565646074108020e-15
   28    21    4.3620795566787027e-03
   28    22    2.5557553011204544e-03
   28    23   -5.0761563918451512e-18
   28    24   -1.6359012378272380e-15
   28    25    2.5557553011204457e-03
   28    26   -1.8278666308557402e-15
   28    27   -4.3606073037048380e-03
   28    28    2.1811421631440149e-03
   29     0   -4.6703208401775369e-17
   29     1   -1.2435906687794054e-16
   29     2   -1.2277669282838956e-16
   29     3   -2.8938216316412473e-16
   29     4   -2.8187872730062314e-16
   29     5   -6.3235872152362148e-17
   29     6    9.2606451534828732e-17
   29     7    2.4175876059865610e-17
   29     8   -2.2246758018735065e-16
   29     9    1.2813546941915755e-16
   29    10    2.7089943268143755e-17
   29    11   -3.0811732621472826e-16
   29    12    1.9673038432923002e-16
   29    13    6.7978999976799106e-18
   29    14   -2.8022288506879480e-16
   29    15    5.1987421913884141e-17
   29    16   -1.5055784080364001e-17
   29    17   -1.5827012196138785e-16
   29    18   -2.7055029919002141e-16
   29    19   -1.1549307235764078e-17
   29    20   -5.6891298815547142e-17
   29    21   -2.1529522179086475e-16
   29    22   -1.9064934033592290e-16
   29    23    2.9210083129961796e-31
   29    24    2.7752523015436554e-18
   29    25   -1.9064934033592246e-16
   29    26    3.1490893220696495e-17
   29    27   -2.3201541476443559e-16
   29    28   -1.4919501879607754e-16
   29    29    1.0075374324776633e-30
   30     0    5.4490135587143915e-16
   30     1    7.6902319243148658e-16
   30     2    7.3435361218368357e-16
   30     3    2.0550259393944656e-16
   30     4   -9.4507644499285306e-17
   30     5   -3.5477260862479552e-16
   30     6   -2.3576589369756085e-16
   30     7   -3.0997473849899766e-02
   30     8   -2.5794434394937332e-16
   30     9   -4.4660702070640898e-16
   30    10   -4.3421406426971822e-02
   30    11   -3.3181045520437900e-16
   30    12   -5.1213858306980639e-16
   30    13   -4.0857429695975618e-02
   30    14   -2.3372098272122145e-16
   30    15    7.8287822430255768e-17
   30    16   -2.4524254296922888e-02
   30    17    2.1743078893014523e-17
   30    18    3.3178105667314582e-16
   30    19   -9.2857235310093815e-03
   30    20    2.3271362557960453e-16
   30    21    1.6557195462308772e-16
   30    22   -1.4316132729982860e-17
   30    23    9.3224080267432026e-18
   30    24    4.8626851614817822e-03
   30    25   -2.3307144940976755e-17
   30    26    3.6456871234643535e-17
   30    27    6.1405384926834902e-17
   30    28   -9.7210991154205231e-17
   30    29    8.3126474379449077e-18
   30    30    1.5058158946987359e-02
   31     0   -8.3125353854485162e-03
   31     1   -1.0982853560968465e-02
   31     2   -1.0303203624002740e-02
   31     3   -2.4176648156952747e-03
   31     4   -1.4924907912485818e-03
   31     5    1.2813952121628236e-03
   31     6    1.6739577351943878e-03
   31     7   -3.7776833186476273e-16
   31     8    9.2633072020108719e-15
   31     9    3.5687545101195206e-02
   31    10    1.3127392335011442e-15
   31    11    1.3398785821371890e-14
   31    12    5.0470075183157249e-02
   31    13    6.3124786185540123e-15
   31    14    1.3768749369815525e-14
   31    15    3.7361512367650340e-02
   31    16    9.0050441480740940e-15
   31    17    9.4434111184808132e-15
   31    18    1.4666790531208337e-02
   31    19    5.0253981105269239e-15
   31    20    3.9319001594294830e-15
   31    21    4.3620795566785059e-03
   31    22    2.5557553011174147e-03
   31    23   -5.0761563918448315e-18
   31    24   -1.7235184833207060e-15
   31    25    2.5557553011174047e-03
   31    26   -1.8847461112400921e-15
   31    27   -4.3606073037078946e-03
   31    28    2.1811421631414809e-03
   31    29    1.1936243413440363e-17
   31    30   -9.0459408940113390e-15
   31    31    2.1811421631414726e-03
   32     0    6.3483601463477299e-16
   32     1    6.8249457265263811e-16
   32     2    6.3939395101360284e-16
   32     3   -7.3128895295854097e-16
   32     4   -8.9365413649364825e-16
   32     5   -4.5827394638177865e-16
   32     6   -1.9886231376852114e-16
   32     7    1.1794048966187884e-16
   32     8   -3.0997473849900779e-02
   32     9   -2.1796489406455215e-16
   32    10    1.8904054031785497e-16
   32    11   -4.3421406426973230e-02
   32    12   -2.5209995009244775e-16
   32    13    2.9976379804057913e-16
   32    14   -4.0857429695976943e-02
   32    15   -4.0782587161626700e-16
   32    16    3.4653040930659926e-16
   32    17   -2.4524254296923769e-02
   32    18   -2.1167349621673616e-16
